id,latitude,longitude,isActiveDsk
P0249,26.87545,81.02879,FALSE
P0250,26.87093,80.96379,FALSE
P0263,26.86697,80.92068,FALSE
P0278,26.84544,80.89708,FALSE
P0279,26.8918,80.97397,FALSE
P0283,26.84793,80.90812,FALSE
P0295,26.85726,80.916881,FALSE
P0313,26.864724,80.96011,FALSE
P0314,26.907271,80.959183,FALSE
P0315,26.93614,80.98,FALSE
P0325,26.85837,80.91897,FALSE
P0327,26.87493,80.87185,FALSE
P0336,26.864619,80.889759,FALSE
P0337,26.87219,80.92129,FALSE
P0341,26.85473,80.92162,FALSE
P0368,26.86956,80.86413,FALSE
P0371,26.87523,81.01269,FALSE
P0387,26.908107,80.964387,FALSE
P0390,26.89237,80.92567,FALSE
P0391,26.8941557,80.9360557,FALSE
P0407,26.89668,80.93777,FALSE
P0418,26.8591417,81.0390261,FALSE
P0419,26.87298,80.98907,FALSE
P0420,26.87982,80.94696,FALSE
P0424,26.93596,80.97986,TRUE
P0437,26.9151863,80.9382802,FALSE
P0463,26.88077,80.89901,TRUE
P0464,26.909833,80.964557,FALSE
P0467,26.87008,80.92648,FALSE
P0520,26.8689,80.92722,FALSE
P0544,26.9116,80.96394,FALSE
P0545,26.8736909,81.0074714,FALSE
P0568,26.859625,80.9196778,FALSE
P0588,26.89672,80.93779,FALSE
P0590,26.87176,80.97502,FALSE
P0592,26.849038,80.921423,FALSE
P0609,26.87067,80.96135,FALSE
P0669,26.871577,80.9327897,FALSE
P0686,26.8748986,81.0137514,FALSE
P0718,26.87836,80.92607,FALSE
P0719,26.8335554,80.9346086,FALSE
P0737,26.86914,80.96087,FALSE
P0748,26.87224,80.92959,FALSE
P0750,26.89237,80.92566,TRUE
P0806,26.85526,80.89455,FALSE
P0835,26.84139,80.85352,FALSE
P0836,26.870616,80.959246,FALSE
P0870,26.87009,80.9261,FALSE
P0876,26.4108397,80.3818492,TRUE
P0891,26.85331,80.92711,FALSE
P0892,26.89427,80.928068,FALSE
P0916,26.84236,80.88912,FALSE
P0921,26.8601,80.91985,FALSE
P0924,26.8917437,80.9524107,FALSE
P0929,26.833369,80.9159347,FALSE
P0933,26.89452,80.97167,FALSE
P0971,26.78648,80.92614,FALSE
P0977,26.834859,80.924548,FALSE
P1007,26.49402,80.24716,FALSE
P1018,26.4950698,80.2454579,FALSE
P1019,26.450596,80.284245,FALSE
P1029,26.459527,80.315276,FALSE
P1052,26.8946205,80.9269841,TRUE
P1053,26.874593,80.927912,FALSE
P1054,26.85057236,80.93114,FALSE
P1057,26.93496,80.983069,FALSE
P1067,26.87337,81.00645,TRUE
P1087,26.864867,80.922575,FALSE
P1104,26.4621528,80.3289351,TRUE
P1140,26.8869429,81.0506465,FALSE
P1147,26.8598969,80.8833916,FALSE
P1152,26.8806756,80.8994583,FALSE
P1164,26.4726975,80.3294971,FALSE
P1165,26.467326,80.30582,FALSE
P1177,26.871973,80.957095,FALSE
P1192,26,80,FALSE
P1196,26.88074,80.91281,FALSE
P1199,26.871485,80.96084,FALSE
P1210,26.44794,80.32039,FALSE
P1211,26.467318,80.308495,FALSE
P1219,26.846997,80.902409,FALSE
P1245,26.868403,80.921429,FALSE
P1264,26.9216682,80.9288201,FALSE
P1268,1,1,FALSE
P1269,26.434948,80.34002,TRUE
P1274,26,80,FALSE
P1286,26.875204,80.991757,FALSE
P1299,26.46058,80.349955,FALSE
P1312,26,80,FALSE
P1343,26,80,FALSE
P1345,26.8697838,80.9724012,TRUE
P1353,26.874925,80.915869,FALSE
P1361,26.8717659,80.9320481,TRUE
P1363,26.412454,80.3260388,FALSE
P1364,26.474859,80.2736301,FALSE
P1366,26.8603726,80.8689769,FALSE
P1378,26,80,FALSE
P1380,26,80,FALSE
P1381,26.8751277,81.0282084,FALSE
P1383,26.912637,80.972778,TRUE
P1384,26,80,FALSE
P1399,26.885172,80.961073,FALSE
P1400,26.900534,80.915892,FALSE
P1410,26.9082777,80.9384638,FALSE
P1412,26,80,FALSE
P1414,26,80,FALSE
P1415,26,80,FALSE
P1421,26,80,FALSE
P1425,26.8819943,80.9709393,FALSE
P1434,26.4602135,80.3545604,FALSE
P1439,26,81,FALSE
P1442,26.8783871,80.9741054,FALSE
P1455,26,80,FALSE
P1462,26,80,FALSE
P1464,26,80,FALSE
P1473,26.4503423,80.356447,TRUE
P1485,26.8755261,81.0105205,TRUE
P1486,26,81,FALSE
P1488,26,80,FALSE
P1489,26.888762,81.016034,FALSE
P1490,26,80,FALSE
P1500,26.8913181,80.9655421,TRUE
P1501,26.8746941,80.8549252,TRUE
P1510,26.8923861,80.9551307,FALSE
P1517,26,80,FALSE
P1524,26.842646,80.911427,FALSE
P1532,26.8818344,80.9038022,TRUE
P1543,26.439006,80.326295,FALSE
P1556,26,80,FALSE
P1566,26,80,FALSE
P1567,26,80,FALSE
P1570,26.4251998,80.3498342,TRUE
P1579,26,80,FALSE
P1583,26.8797039,80.9281829,TRUE
P1586,26,80,FALSE
P1589,26,80,FALSE
P1590,26,80,FALSE
P1597,28.4162012,77.0909696,FALSE
P1623,26.4273014,80.4001783,FALSE
P1641,26.881492,80.999838,TRUE
P1649,26.875548,80.894442,TRUE
P1650,26.7680783,80.971148,FALSE
P1658,26.896105,80.931849,FALSE
P1686,26.7680499,80.9711026,FALSE
P1702,26.4613331,80.3405015,TRUE
P1719,26.8508917,80.8788196,FALSE
P1742,26.8472992,80.9242819,FALSE
P1757,26.921595,80.96704,FALSE
P1775,26.874077,81.027767,FALSE
P1782,26.882799,80.884461,FALSE
P1792,26.496479,80.311067,FALSE
P1812,26.425859,80.401415,FALSE
P1837,26.466384,80.3648427,FALSE
P1846,26.854455,80.927672,TRUE
P1859,26.384529,80.317513,FALSE
P1884,26.906367,80.89689,FALSE
P1899,26.866133,80.891026,FALSE
P1906,26.9057832,80.9315956,FALSE
P1940,26.852649,80.875766,FALSE
P1960,26.4825342,80.3291298,TRUE
P1969,26.428271,80.352123,FALSE
P1974,26.884493,81.042049,FALSE
P1977,26.8462083,80.8784082,FALSE
P1999,26.894601,80.993429,FALSE
P2004,0,0,FALSE
P2006,26.851023,80.8786711,FALSE
P2010,0,0,FALSE
P2014,26.838812,80.932049,FALSE
P2016,26.460209,80.224974,FALSE
P2026,26.8778406,80.8904759,FALSE
P2047,26.886611,80.964226,FALSE
P2057,26.436304,80.343476,FALSE
P2061,26.85957,80.878843,FALSE
P2065,26.8898913,81.0440091,FALSE
P2075,26.418928,80.370842,FALSE
P2076,26.4074382,80.2926629,FALSE
P2100,26.893597,80.925905,FALSE
P2105,26.893068,80.973622,FALSE
P2121,26.398867,80.383533,FALSE
P2127,26.461725,80.34597,FALSE
P2137,28.4143419,77.0879734,FALSE
P2139,26.4768803,80.2490121,FALSE
